TRABAJADOR;REGIONAL;VICEPRESIDENCIA;GERENCIA;FECHA INGRESO;FECHA RETIRO;Año Unificado;EDAD;Rangos Edad;RELACION LABORAL;Rotacion;MOTIVO RETIRO;GENERO;NIVEL DE CARGO;CARGO;ACCESO CREDITO;SGD(1/100);SDG DESCRIPCION;CARGA PRESTACIONAL;;;;;
202060173;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;23/01/2018;17/03/2021;2021 12:00:00;26;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;83;REGULAR; $ 45.632.000 ;;;;;
202061174;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;15/01/2019;17/03/2021;2021 12:00:00;28;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;86;BUENO; $ 45.632.000 ;;;;;
202062175;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;10/09/2020;25/03/2021;2021 12:00:00;21;Entre 20 y 24 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;87;BUENO; $ 45.632.000 ;;;;;
202063176;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;20/01/2020;26/03/2021;2021 12:00:00;21;Entre 20 y 24 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;70;REGULAR; $ 45.632.000 ;;;;;
202064177;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;25/10/2019;24/04/2021;2021 12:00:00;34;Entre 31 y 35 años;0;Involuntaria;Terminacion de Contrato                 ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;89;BUENO; $ 45.632.000 ;;;;;
202065178;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;3/02/2020;30/04/2021;2021 12:00:00;27;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Contribuyente;ASESOR COMERCIAL;0;76;REGULAR; $ 45.632.000 ;;;;;
202066179;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;1/04/2020;30/05/2021;2021 12:00:00;28;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;75;REGULAR; $ 45.632.000 ;;;;;
202067180;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;26/04/2019;4/06/2021;2021 12:00:00;33;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Contribuyente;ASESOR COMERCIAL;0;73;REGULAR; $ 45.632.000 ;;;;;
202068181;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;3/12/2018;18/06/2021;2021 12:00:00;26;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Contribuyente;ASESOR COMERCIAL;0;70;REGULAR; $ 45.632.000 ;;;;;
202069182;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;3/05/2021;2/07/2021;2021 12:00:00;33;Entre 31 y 35 años;0;Involuntaria;Terminacion en Periodo de Prueba        ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;100;EXCELENTE; $ 45.632.000 ;;;;;
